;;;;;;;;;1 paŸdziernika 2023
Plan dla przedmiotu: Programowanie w JavaScript;;;;;;;;;
Czas od;;Czas do;Liczba godzin;Grupy;Prowadz¹cy;Grupy;Forma zaliczenia;Uwagi;
Data Zajêæ: 2023.10.13 pi¹tek ;;;;;;;;;
;19:10;20:40;2h00m;konw/3/PROGN ;mgr in¿. Ryszard Brzegowy ;konw/3/PROGN ;Zaliczenie ocena;;
Data Zajêæ: 2023.10.27 pi¹tek ;;;;;;;;;
;19:10;20:40;2h00m;konw/3/PROGN ;mgr in¿. Ryszard Brzegowy ;konw/3/PROGN ;Zaliczenie ocena;;
Data Zajêæ: 2023.11.10 pi¹tek ;;;;;;;;;
;19:10;20:40;2h00m;konw/3/PROGN ;mgr in¿. Ryszard Brzegowy ;konw/3/PROGN ;Zaliczenie ocena;;
Data Zajêæ: 2023.11.24 pi¹tek ;;;;;;;;;
;19:10;20:40;2h00m;konw/3/PROGN ;mgr in¿. Ryszard Brzegowy ;konw/3/PROGN ;Zaliczenie ocena;;
Data Zajêæ: 2023.12.08 pi¹tek ;;;;;;;;;
;19:10;20:40;2h00m;konw/3/PROGN ;mgr in¿. Ryszard Brzegowy ;konw/3/PROGN ;Zaliczenie ocena;;
Data Zajêæ: 2024.01.12 pi¹tek ;;;;;;;;;
;19:10;20:40;2h00m;konw/3/PROGN ;mgr in¿. Ryszard Brzegowy ;konw/3/PROGN ;Zaliczenie ocena;;
Data Zajêæ: 2024.01.26 pi¹tek ;;;;;;;;;
;19:10;20:40;2h00m;konw/3/PROGN ;mgr in¿. Ryszard Brzegowy ;konw/3/PROGN ;Zaliczenie ocena;;
Data Zajêæ: 2024.02.09 pi¹tek ;;;;;;;;;
;19:10;20:40;2h00m;konw/3/PROGN ;mgr in¿. Ryszard Brzegowy ;konw/3/PROGN ;Zaliczenie ocena;;
